time,event
0,"experiment started"
0.009131199999956152,"A then B"
3.822893699999895,"first stim audio cue started playing"
4.516275999999834,"first audio cue finished playing"
8.129444199999853,"second stim audio cue started playing"
8.785317699999723,"second audio cue finished playing"
10.35861100000011,"participant responded: 2"
10.361267899999802,"1 of 70 complete"
10.377856099999917,"B then A"
13.489216899999974,"first stim audio cue started playing"
14.176545100000112,"first audio cue finished playing"
17.79064160000007,"second stim audio cue started playing"
18.446615800000018,"second audio cue finished playing"
21.098095700000158,"participant responded: 1"
21.10023369999999,"2 of 70 complete"
21.117515899999944,"A then B"
24.231849899999816,"first stim audio cue started playing"
24.95670829999972,"first audio cue finished playing"
28.57008289999976,"second stim audio cue started playing"
29.225368699999763,"second audio cue finished playing"
36.16713919999984,"participant responded: 2"
36.169582799999716,"3 of 70 complete"
36.18705950000003,"A then B"
39.30212140000003,"first stim audio cue started playing"
39.996306900000036,"first audio cue finished playing"
43.61176249999971,"second stim audio cue started playing"
44.26600430000008,"second audio cue finished playing"
47.356193300000086,"participant responded: 2"
47.35859859999982,"4 of 70 complete"
47.3755756999999,"B then A"
50.49181210000006,"first stim audio cue started playing"
51.14581020000014,"first audio cue finished playing"
54.75917320000008,"second stim audio cue started playing"
55.415467400000125,"second audio cue finished playing"
57.09626299999991,"participant responded: 2"
57.09843319999982,"5 of 70 complete"
57.1155619000001,"B then A"
60.230771900000036,"first stim audio cue started playing"
60.80459579999979,"first audio cue finished playing"
64.41871270000001,"second stim audio cue started playing"
65.07560310000008,"second audio cue finished playing"
68.50171709999995,"participant responded: 2"
68.50420910000003,"6 of 70 complete"
68.52183680000007,"B then A"
71.6339210000001,"first stim audio cue started playing"
72.31568289999996,"first audio cue finished playing"
75.9298804,"second stim audio cue started playing"
76.59583569999995,"second audio cue finished playing"
79.94059119999974,"participant responded: 2"
79.94342849999975,"7 of 70 complete"
79.96023620000005,"B then A"
83.07487979999996,"first stim audio cue started playing"
83.65528670000003,"first audio cue finished playing"
87.27065660000017,"second stim audio cue started playing"
87.92656320000015,"second audio cue finished playing"
89.88116189999982,"participant responded: 2"
89.88376199999993,"8 of 70 complete"
89.90117210000017,"A then B"
93.01580539999986,"first stim audio cue started playing"
93.68659479999997,"first audio cue finished playing"
97.30076340000005,"second stim audio cue started playing"
97.95512299999973,"second audio cue finished playing"
105.03265789999978,"participant responded: 1"
105.03516420000005,"9 of 70 complete"
105.05250609999985,"A then B"
108.16706119999981,"first stim audio cue started playing"
108.72543300000007,"first audio cue finished playing"
112.34065550000014,"second stim audio cue started playing"
113.0065126999998,"second audio cue finished playing"
115.98904429999993,"participant responded: 1"
115.99159759999975,"10 of 70 complete"
116.0081482999999,"A then B"
119.12025929999982,"first stim audio cue started playing"
119.68653540000014,"first audio cue finished playing"
123.29965390000007,"second stim audio cue started playing"
123.96567819999973,"second audio cue finished playing"
125.19632210000009,"participant responded: 2"
125.19893109999975,"11 of 70 complete"
125.21647940000003,"B then A"
128.33112889999984,"first stim audio cue started playing"
128.97639949999984,"first audio cue finished playing"
132.5908626999999,"second stim audio cue started playing"
133.24678080000012,"second audio cue finished playing"
134.62048060000006,"participant responded: 1"
134.62307770000007,"12 of 70 complete"
134.6397508,"B then A"
137.75417650000009,"first stim audio cue started playing"
138.44640500000014,"first audio cue finished playing"
142.06069339999976,"second stim audio cue started playing"
142.72649039999988,"second audio cue finished playing"
148.74352009999984,"participant responded: 1"
148.75220279999985,"13 of 70 complete"
148.7750658,"A then B"
151.90094509999972,"first stim audio cue started playing"
152.5667140999999,"first audio cue finished playing"
156.1809591000001,"second stim audio cue started playing"
156.84677039999997,"second audio cue finished playing"
159.39653989999988,"participant responded: 1"
159.3994631999999,"14 of 70 complete"
159.41579000000002,"A then B"
162.52800449999995,"first stim audio cue started playing"
163.15634899999986,"first audio cue finished playing"
166.77015129999972,"second stim audio cue started playing"
167.42535929999985,"second audio cue finished playing"
168.7701489000001,"participant responded: 2"
168.77235699999983,"15 of 70 complete"
168.79017599999997,"A then B"
171.90508820000014,"first stim audio cue started playing"
172.62712460000012,"first audio cue finished playing"
176.25242389999994,"second stim audio cue started playing"
176.90543089999983,"second audio cue finished playing"
178.47774560000016,"participant responded: 2"
178.48044149999987,"16 of 70 complete"
178.4977745000001,"A then B"
181.62151240000003,"first stim audio cue started playing"
182.2872785999998,"first audio cue finished playing"
185.90192590000015,"second stim audio cue started playing"
186.5682299,"second audio cue finished playing"
198.25777659999994,"experiment aborted"
