time,event
577.1142255000004,"A then B"
580.2227306000004,"first stim audio cue started playing"
580.8009826000007,"first audio cue finished playing"
584.4100550000003,"second stim audio cue started playing"
585.0807331000005,"second audio cue finished playing"
597.2621904000007,"participant responded: 1"
597.2645172000002,"25 of 28 complete"
597.2778813000004,"B then A"
600.3864299000006,"first stim audio cue started playing"
601.0505829000003,"first audio cue finished playing"
604.6605969000002,"second stim audio cue started playing"
605.3206366000004,"second audio cue finished playing"
616.2773987999999,"participant responded: 1"
616.2808012000005,"26 of 28 complete"
616.2930995000006,"A then B"
619.4029918000006,"first stim audio cue started playing"
620.0003083000001,"first audio cue finished playing"
623.6091633000005,"second stim audio cue started playing"
624.2707496000003,"second audio cue finished playing"
627.2986129999999,"participant responded: 1"
627.3008211000006,"27 of 28 complete"
627.3148627999999,"A then B"
630.4225808000001,"first stim audio cue started playing"
631.1507645000002,"first audio cue finished playing"
634.7581540000001,"second stim audio cue started playing"
635.4201491000003,"second audio cue finished playing"
637.2223644000005,"participant responded: 1"
637.2242746000002,"28 of 28 complete"
637.2409226,"experiment finished"
