time,event
0,"experiment started"
0.009524099999907776,"B then A"
3.7335944999995263,"first stim audio cue started playing"
4.372205099999519,"first audio cue finished playing"
7.9872942000001785,"second stim audio cue started playing"
8.640045399999508,"second audio cue finished playing"
11.766006699999707,"participant responded: 1"
11.77076070000021,"1 of 14 complete"
11.78972479999993,"A then B"
14.913991899999928,"first stim audio cue started playing"
15.519846000000143,"first audio cue finished playing"
19.135034899999482,"second stim audio cue started playing"
19.79064659999949,"second audio cue finished playing"
26.15257819999988,"participant responded: 2"
26.156540799999675,"2 of 14 complete"
26.174242699999922,"A then B"
29.292262299999493,"first stim audio cue started playing"
30.010300599999937,"first audio cue finished playing"
33.62419339999997,"second stim audio cue started playing"
34.27988879999975,"second audio cue finished playing"
36.57580280000002,"participant responded: 1"
36.579996699999356,"3 of 14 complete"
36.5997440000001,"B then A"
39.725280499999826,"first stim audio cue started playing"
40.41014540000015,"first audio cue finished playing"
44.02487380000002,"second stim audio cue started playing"
44.67972929999996,"second audio cue finished playing"
48.94778760000008,"participant responded: 2"
48.953145499999664,"4 of 14 complete"
48.97466739999982,"B then A"
52.092939999999544,"first stim audio cue started playing"
52.67088409999997,"first audio cue finished playing"
56.28671739999936,"second stim audio cue started playing"
56.9404513999998,"second audio cue finished playing"
78.28283199999987,"participant responded: 1"
78.28587809999954,"5 of 14 complete"
78.30242949999956,"B then A"
81.43130969999947,"first stim audio cue started playing"
82.0206135999997,"first audio cue finished playing"
85.64849849999973,"second stim audio cue started playing"
86.29055569999946,"second audio cue finished playing"
92.4204823,"participant responded: 1"
92.4245377999996,"6 of 14 complete"
92.44208939999953,"A then B"
95.5607516,"first stim audio cue started playing"
96.1401077999999,"first audio cue finished playing"
99.75635659999989,"second stim audio cue started playing"
100.41018199999962,"second audio cue finished playing"
108.40428169999996,"participant responded: 1"
108.40782929999932,"7 of 14 complete"
108.42269249999936,"B then A"
111.54222680000021,"first stim audio cue started playing"
112.11063680000007,"first audio cue finished playing"
115.72764519999964,"second stim audio cue started playing"
116.39010739999958,"second audio cue finished playing"
120.47417809999934,"participant responded: 1"
120.4770367000001,"8 of 14 complete"
120.49334079999971,"A then B"
123.60983839999972,"first stim audio cue started playing"
124.19005560000005,"first audio cue finished playing"
127.80477209999935,"second stim audio cue started playing"
128.46060719999969,"second audio cue finished playing"
129.7987011999994,"participant responded: 1"
129.80115409999962,"9 of 14 complete"
129.81696719999945,"A then B"
132.93056609999985,"first stim audio cue started playing"
133.66049349999957,"first audio cue finished playing"
137.27621850000014,"second stim audio cue started playing"
137.9304029999994,"second audio cue finished playing"
138.65795569999955,"participant responded: 2"
138.6606751999998,"10 of 14 complete"
138.67539959999976,"B then A"
141.78784579999956,"first stim audio cue started playing"
142.3916524999995,"first audio cue finished playing"
146.00762870000017,"second stim audio cue started playing"
146.6603101999999,"second audio cue finished playing"
158.02104259999942,"participant responded: 2"
158.02348540000003,"11 of 14 complete"
158.04056899999978,"A then B"
161.1559970999997,"first stim audio cue started playing"
161.90015700000004,"first audio cue finished playing"
165.51707889999943,"second stim audio cue started playing"
166.16997850000007,"second audio cue finished playing"
166.56527229999938,"participant responded: 1"
166.5696042999998,"12 of 14 complete"
166.5883316999998,"B then A"
169.71505699999943,"first stim audio cue started playing"
170.4412317999995,"first audio cue finished playing"
174.05466679999972,"second stim audio cue started playing"
174.71186599999965,"second audio cue finished playing"
372.0643620000001,"participant responded: 1"
372.0693196000002,"13 of 14 complete"
372.08621949999997,"A then B"
375.20173309999973,"first stim audio cue started playing"
375.8898250000002,"first audio cue finished playing"
379.5035412999996,"second stim audio cue started playing"
380.1613527999998,"second audio cue finished playing"
383.85468109999965,"participant responded: 1"
383.8622518000002,"14 of 14 complete"
383.88686359999974,"experiment finished"
