time,event
0,"experiment started"
0.008606900000813766,"(14, 8) then (8, 8)"
23.693729099999473,"participant responded: 1"
23.696528300000864,"1 of 5 complete"
23.713643999999476,"(4, 4) then (18, 4)"
102.2509098999999,"participant responded: 2"
102.25348570000097,"2 of 5 complete"
102.26939599999969,"(18, 8) then (8, 4)"
151.4574231000006,"participant responded: 1"
151.4632942999997,"3 of 5 complete"
151.4808463999998,"(4, 4) then (18, 4)"
170.6836091999994,"participant responded: 1"
170.68653819999963,"4 of 5 complete"
170.70313910000004,"(14, 4) then (4, 8)"
203.68742209999982,"participant responded: 2"
203.6944884000004,"5 of 5 complete"
203.69941350000045,"experiment finished"
